SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating
SESSION00101,Graduate,Biology,2024-10-23,24.33,5,Homework Help,4,Assignment Completed,True,3.5
SESSION00102,Undergraduate,Engineering,2025-01-18,16.16,4,Studying,4,Assignment Completed,True,1.9
SESSION00103,Undergraduate,Business,2025-05-09,8.75,3,Homework Help,3,Idea Drafted,True,1.0
SESSION00104,Undergraduate,Psychology,2024-12-06,14.9,3,Writing,3,Idea Drafted,False,1.6
SESSION00105,Undergraduate,Biology,2024-10-15,14.8,5,Coding,3,Assignment Completed,True,3.0
SESSION00106,Undergraduate,Business,2024-07-09,7.82,2,Studying,4,Idea Drafted,True,3.7
SESSION00107,Undergraduate,Psychology,2025-05-23,39.45,8,Studying,4,Idea Drafted,True,3.2
SESSION00108,High School,Business,2024-08-04,16.63,4,Studying,1,Confused,False,1.5
SESSION00109,Graduate,Math,2024-07-15,41.83,16,Studying,2,Idea Drafted,False,1.9
SESSION00110,Graduate,Engineering,2025-06-23,15.97,6,Writing,3,Assignment Completed,True,3.5
SESSION00111,Graduate,Computer Science,2024-10-18,39.43,16,Research,4,Gave Up,False,5.0
SESSION00112,Undergraduate,Biology,2025-03-09,28.36,7,Writing,4,Assignment Completed,True,3.9
SESSION00113,Undergraduate,Biology,2024-08-16,10.94,5,Coding,5,Idea Drafted,True,3.6
SESSION00114,Undergraduate,Psychology,2025-03-21,25.5,6,Homework Help,3,Assignment Completed,True,3.6
SESSION00115,High School,Math,2024-10-02,23.19,9,Homework Help,4,Assignment Completed,False,2.9
SESSION00116,High School,Business,2025-05-06,13.61,3,Writing,3,Idea Drafted,True,3.6
SESSION00117,Graduate,Psychology,2024-11-18,18.01,4,Writing,3,Idea Drafted,True,3.1
SESSION00118,Undergraduate,Biology,2024-08-22,22.8,4,Writing,4,Confused,False,3.7
SESSION00119,Undergraduate,Computer Science,2024-10-11,15.91,5,Research,4,Idea Drafted,False,3.1
SESSION00120,Undergraduate,Math,2024-11-03,20.93,9,Studying,5,Assignment Completed,True,5.0
SESSION00121,Undergraduate,History,2025-05-20,33.88,7,Writing,5,Idea Drafted,True,4.3
SESSION00122,High School,Biology,2024-12-01,7.12,3,Brainstorming,3,Assignment Completed,False,2.4
SESSION00123,Undergraduate,Engineering,2024-07-22,19.37,4,Studying,2,Gave Up,False,2.7
SESSION00124,Undergraduate,Math,2025-01-16,16.79,4,Brainstorming,5,Confused,False,4.4
SESSION00125,Graduate,Biology,2024-11-12,13.61,3,Brainstorming,5,Assignment Completed,True,3.6
SESSION00126,Undergraduate,Math,2024-07-23,19.28,5,Writing,3,Assignment Completed,False,2.5
SESSION00127,Graduate,Biology,2025-01-03,16.64,4,Studying,3,Gave Up,True,2.5
SESSION00128,Undergraduate,Psychology,2024-10-21,18.61,4,Writing,5,Assignment Completed,True,4.4
SESSION00129,High School,Computer Science,2025-04-06,14.37,4,Research,5,Assignment Completed,False,4.7
SESSION00130,Undergraduate,Psychology,2024-10-18,3.6,1,Writing,4,Assignment Completed,True,4.9
SESSION00131,Undergraduate,History,2024-11-29,37.72,7,Writing,3,Assignment Completed,True,2.9
SESSION00132,Undergraduate,Math,2024-07-02,8.05,2,Coding,5,Assignment Completed,True,4.5
SESSION00133,Undergraduate,Psychology,2024-07-04,20.21,5,Studying,3,Idea Drafted,False,2.6
SESSION00134,Graduate,Psychology,2024-10-12,14.06,3,Homework Help,5,Gave Up,False,5.0
SESSION00135,Undergraduate,Computer Science,2024-10-29,15.82,4,Writing,4,Idea Drafted,True,3.6
SESSION00136,High School,Computer Science,2024-09-03,6.97,2,Studying,4,Gave Up,False,4.2
SESSION00137,Undergraduate,Business,2025-03-27,2.54,1,Coding,5,Idea Drafted,True,5.0
SESSION00138,Graduate,Psychology,2024-07-30,10.73,4,Writing,4,Idea Drafted,False,5.0
SESSION00139,Undergraduate,Business,2025-05-27,18.37,4,Coding,5,Assignment Completed,True,5.0
SESSION00140,Graduate,Math,2024-08-16,8.62,2,Coding,3,Assignment Completed,True,2.1
SESSION00141,Undergraduate,Computer Science,2025-06-20,23.52,11,Writing,3,Assignment Completed,True,2.3
SESSION00142,Undergraduate,History,2025-01-13,20.13,5,Research,5,Idea Drafted,False,5.0
SESSION00143,Graduate,History,2025-02-13,15.46,4,Studying,5,Confused,False,5.0
SESSION00144,Undergraduate,History,2025-02-11,14.86,6,Brainstorming,3,Assignment Completed,True,2.7
SESSION00145,Graduate,Computer Science,2025-05-20,18.14,6,Coding,3,Assignment Completed,True,2.3
SESSION00146,High School,Business,2024-08-01,16.64,7,Brainstorming,5,Assignment Completed,True,5.0
SESSION00147,Undergraduate,Math,2024-11-11,31.16,6,Writing,3,Idea Drafted,True,2.8
SESSION00148,Undergraduate,Engineering,2024-08-07,11.21,3,Studying,3,Idea Drafted,True,1.6
SESSION00149,Undergraduate,Psychology,2024-07-30,10.41,2,Writing,4,Assignment Completed,True,2.8
SESSION00150,Undergraduate,Math,2024-10-04,26.97,6,Homework Help,4,Confused,False,3.7
SESSION00151,High School,Computer Science,2025-04-18,22.46,10,Studying,3,Confused,True,2.6
SESSION00152,Graduate,Psychology,2024-10-31,7.53,2,Studying,4,Assignment Completed,True,3.2
SESSION00153,Graduate,Biology,2024-10-25,14.95,3,Coding,4,Idea Drafted,True,2.2
SESSION00154,Undergraduate,Engineering,2025-06-04,15.7,5,Homework Help,5,Assignment Completed,True,3.3
SESSION00155,Graduate,Computer Science,2024-08-11,25.73,8,Homework Help,4,Assignment Completed,True,3.7
SESSION00156,Undergraduate,Business,2024-09-02,7.61,3,Homework Help,3,Assignment Completed,True,3.2
SESSION00157,Undergraduate,Business,2025-02-02,20.22,6,Homework Help,2,Assignment Completed,True,1.0
SESSION00158,Undergraduate,Business,2024-09-14,14.04,3,Coding,4,Idea Drafted,True,4.2
SESSION00159,Graduate,Computer Science,2025-02-05,12.47,4,Homework Help,2,Assignment Completed,True,3.8
SESSION00160,Undergraduate,Engineering,2025-04-30,6.51,1,Coding,4,Assignment Completed,True,4.0
SESSION00161,Undergraduate,Business,2024-07-24,11.77,4,Coding,3,Assignment Completed,True,2.9
SESSION00162,Undergraduate,History,2024-09-21,13.1,2,Writing,3,Assignment Completed,True,1.3
SESSION00163,Graduate,Psychology,2024-07-13,3.22,1,Homework Help,5,Assignment Completed,True,4.8
SESSION00164,High School,Engineering,2024-10-09,11.77,2,Writing,5,Assignment Completed,False,4.4
SESSION00165,High School,Computer Science,2024-10-22,8.04,1,Writing,3,Assignment Completed,False,3.3
SESSION00166,High School,Business,2025-05-16,8.32,1,Studying,2,Idea Drafted,False,1.0
SESSION00167,High School,Computer Science,2025-04-15,11.18,3,Homework Help,3,Confused,True,3.2
SESSION00168,Undergraduate,Math,2025-01-23,40.08,9,Coding,4,Assignment Completed,True,4.1
SESSION00169,Undergraduate,Engineering,2025-04-13,8.02,2,Coding,4,Assignment Completed,True,4.7
SESSION00170,Undergraduate,Computer Science,2025-01-20,6.85,1,Writing,4,Confused,False,4.7
SESSION00171,Undergraduate,Business,2025-06-13,24.99,5,Studying,4,Idea Drafted,True,3.3
SESSION00172,Undergraduate,Engineering,2025-05-23,1.2,1,Studying,4,Assignment Completed,False,3.9
SESSION00173,Undergraduate,Engineering,2024-07-24,21.11,8,Homework Help,3,Assignment Completed,True,3.3
SESSION00174,High School,Math,2025-05-05,13.04,3,Writing,2,Confused,False,1.0
SESSION00175,Undergraduate,Engineering,2025-03-27,20.31,7,Studying,4,Idea Drafted,True,4.0
SESSION00176,Undergraduate,Psychology,2025-01-23,16.66,3,Writing,3,Assignment Completed,True,3.1
SESSION00177,Undergraduate,Business,2025-06-22,13.47,2,Writing,4,Assignment Completed,True,3.8
SESSION00178,Undergraduate,Biology,2025-02-03,9.27,2,Writing,4,Assignment Completed,True,5.0
SESSION00179,Undergraduate,Engineering,2025-05-27,11.43,2,Writing,3,Assignment Completed,True,3.3
SESSION00180,Graduate,Psychology,2025-03-19,19.55,8,Coding,3,Confused,False,1.2
SESSION00181,Undergraduate,Computer Science,2025-01-22,8.34,2,Writing,3,Assignment Completed,True,4.9
SESSION00182,Undergraduate,Computer Science,2024-10-17,3.55,1,Studying,3,Idea Drafted,True,2.3
SESSION00183,Undergraduate,Psychology,2025-06-10,9.93,3,Coding,5,Assignment Completed,True,5.0
SESSION00184,High School,Business,2025-01-24,3.64,1,Writing,5,Idea Drafted,True,4.4
SESSION00185,Undergraduate,Business,2025-03-06,38.8,8,Writing,3,Idea Drafted,True,3.4
SESSION00186,High School,Psychology,2024-10-17,8.9,2,Studying,5,Confused,False,4.7
SESSION00187,Undergraduate,Business,2024-08-02,20.62,4,Writing,2,Assignment Completed,True,2.1
SESSION00188,Graduate,Biology,2025-06-06,27.27,6,Coding,5,Assignment Completed,True,4.5
SESSION00189,Undergraduate,Biology,2024-11-27,39.67,19,Coding,4,Assignment Completed,False,3.9
SESSION00190,High School,Math,2025-04-12,9.45,3,Homework Help,4,Assignment Completed,True,3.5
SESSION00191,Undergraduate,Computer Science,2025-06-20,13.43,2,Writing,3,Gave Up,True,3.9
SESSION00192,Undergraduate,Computer Science,2024-07-09,11.71,3,Homework Help,3,Confused,True,2.9
SESSION00193,Graduate,Computer Science,2024-10-23,16.22,5,Homework Help,3,Assignment Completed,True,3.2
SESSION00194,Undergraduate,Biology,2025-06-15,19.03,4,Studying,3,Gave Up,False,3.6
SESSION00195,Undergraduate,Computer Science,2025-05-30,10.37,4,Studying,4,Confused,False,4.3
SESSION00196,Undergraduate,Business,2024-12-04,37.05,14,Studying,5,Idea Drafted,True,5.0
SESSION00197,Undergraduate,Business,2024-07-30,26.61,5,Brainstorming,4,Assignment Completed,False,3.3
SESSION00198,Undergraduate,Computer Science,2025-03-06,72.82,25,Homework Help,2,Gave Up,False,2.0
SESSION00199,Graduate,Computer Science,2024-10-31,24.43,5,Homework Help,5,Assignment Completed,False,5.0
SESSION00200,Undergraduate,Business,2024-10-06,15.52,4,Studying,2,Confused,False,2.8
SESSION00201,Graduate,Business,2025-04-07,1.68,1,Homework Help,3,Confused,True,1.7
SESSION00202,Graduate,Computer Science,2024-07-14,13.99,2,Homework Help,3,Confused,False,4.3
SESSION00203,Undergraduate,History,2024-08-16,23.58,6,Coding,4,Idea Drafted,False,3.9
SESSION00204,High School,Biology,2024-07-20,19.3,6,Studying,4,Assignment Completed,True,2.5
SESSION00205,High School,Biology,2024-07-30,31.13,6,Homework Help,4,Assignment Completed,True,2.5
SESSION00206,Graduate,Psychology,2025-02-07,14.96,4,Studying,2,Idea Drafted,True,1.8
SESSION00207,Undergraduate,Business,2024-06-25,47.16,17,Studying,4,Assignment Completed,True,3.3
SESSION00208,Undergraduate,Biology,2024-08-04,4.48,1,Homework Help,3,Assignment Completed,True,3.2
SESSION00209,Undergraduate,Engineering,2025-06-05,39.95,9,Homework Help,4,Gave Up,False,3.9
SESSION00210,Undergraduate,History,2024-12-26,48.04,10,Coding,5,Confused,False,3.9
SESSION00211,Undergraduate,Math,2024-07-10,7.55,3,Writing,4,Gave Up,False,5.0
SESSION00212,High School,Engineering,2024-12-23,20.2,5,Studying,3,Assignment Completed,False,4.0
SESSION00213,Undergraduate,Psychology,2025-05-04,20.35,7,Coding,4,Assignment Completed,False,5.0
SESSION00214,Undergraduate,Computer Science,2024-11-11,84.15,31,Homework Help,5,Confused,False,5.0
SESSION00215,Undergraduate,Business,2024-11-28,10.54,4,Writing,5,Idea Drafted,True,5.0
SESSION00216,High School,History,2025-01-20,5.76,1,Homework Help,5,Assignment Completed,True,5.0
SESSION00217,Undergraduate,Engineering,2024-08-04,10.93,3,Research,1,Confused,False,2.0
SESSION00218,Undergraduate,Biology,2024-10-04,11.12,2,Homework Help,3,Assignment Completed,True,2.5
SESSION00219,Undergraduate,Psychology,2024-08-24,43.1,12,Studying,3,Idea Drafted,True,3.0
SESSION00220,Graduate,Math,2025-02-08,5.18,1,Studying,4,Assignment Completed,True,4.9
SESSION00221,Graduate,Business,2025-06-23,23.58,6,Writing,3,Idea Drafted,True,3.2
SESSION00222,Undergraduate,Engineering,2025-01-27,30.16,11,Homework Help,2,Assignment Completed,True,2.4
SESSION00223,Undergraduate,Biology,2025-06-06,17.16,5,Coding,3,Assignment Completed,True,2.4
SESSION00224,High School,History,2025-04-28,24.37,6,Writing,3,Assignment Completed,True,4.4
SESSION00225,Graduate,Engineering,2024-09-28,15.24,5,Studying,4,Assignment Completed,False,4.3
SESSION00226,Graduate,Biology,2024-07-25,44.81,11,Writing,5,Assignment Completed,True,4.9
SESSION00227,High School,History,2024-10-31,18.58,8,Research,5,Confused,False,3.8
SESSION00228,Graduate,Math,2024-08-28,11.51,3,Homework Help,5,Assignment Completed,True,5.0
SESSION00229,Graduate,Business,2024-09-03,62.93,17,Writing,2,Assignment Completed,False,1.9
SESSION00230,Undergraduate,Computer Science,2025-03-02,33.3,7,Coding,3,Confused,False,2.3
SESSION00231,Graduate,Psychology,2025-06-15,18.47,8,Studying,4,Idea Drafted,False,3.7
SESSION00232,Undergraduate,Psychology,2025-01-30,46.97,20,Homework Help,3,Assignment Completed,True,1.0
SESSION00233,Undergraduate,Business,2025-03-23,16.77,4,Writing,2,Assignment Completed,True,1.5
SESSION00234,High School,History,2025-05-26,15.87,3,Coding,4,Assignment Completed,True,3.3
SESSION00235,Undergraduate,Psychology,2024-08-03,15.21,7,Writing,2,Assignment Completed,True,1.1
SESSION00236,Undergraduate,Computer Science,2025-02-23,33.03,10,Writing,2,Assignment Completed,False,2.0
SESSION00237,Undergraduate,Psychology,2025-05-05,28.1,10,Coding,3,Assignment Completed,True,3.3
SESSION00238,Undergraduate,Business,2024-06-30,10.52,4,Writing,4,Assignment Completed,True,3.5
SESSION00239,Graduate,Math,2024-12-23,39.41,8,Writing,3,Assignment Completed,True,3.0
SESSION00240,Undergraduate,Psychology,2024-09-16,8.87,4,Homework Help,3,Confused,False,4.1
SESSION00241,Undergraduate,Engineering,2025-04-03,28.1,13,Writing,5,Idea Drafted,True,5.0
SESSION00242,Graduate,Biology,2025-03-26,5.57,2,Writing,5,Gave Up,False,4.7
SESSION00243,Undergraduate,Business,2024-08-12,4.8,2,Homework Help,2,Assignment Completed,True,2.4
SESSION00244,Undergraduate,Computer Science,2024-08-28,10.72,3,Writing,3,Confused,False,3.6
SESSION00245,Undergraduate,Engineering,2025-04-06,20.1,5,Coding,4,Assignment Completed,True,4.2
SESSION00246,Undergraduate,Biology,2025-05-09,9.18,4,Homework Help,2,Idea Drafted,True,2.2
SESSION00247,Graduate,Biology,2025-05-25,17.91,7,Studying,5,Idea Drafted,True,3.3
SESSION00248,Graduate,Business,2025-03-16,17.27,4,Coding,4,Assignment Completed,True,4.6
SESSION00249,High School,History,2025-01-07,22.81,6,Homework Help,4,Assignment Completed,True,3.1
SESSION00250,Undergraduate,Biology,2024-09-24,27.42,5,Homework Help,3,Assignment Completed,False,4.2
SESSION00251,Undergraduate,History,2024-11-29,13.08,4,Homework Help,3,Assignment Completed,True,4.0
SESSION00252,Undergraduate,History,2024-06-26,25.74,6,Studying,3,Confused,False,3.5
SESSION00253,Graduate,Biology,2025-03-15,11.92,4,Studying,1,Assignment Completed,True,1.0
SESSION00254,Graduate,Business,2025-01-13,23.44,6,Coding,5,Assignment Completed,True,5.0
SESSION00255,Undergraduate,Math,2025-05-29,19.44,7,Brainstorming,4,Idea Drafted,True,3.8
SESSION00256,Undergraduate,Business,2024-10-08,12.1,2,Studying,5,Idea Drafted,True,4.7
SESSION00257,Undergraduate,Computer Science,2025-02-02,32.53,11,Studying,3,Idea Drafted,True,2.1
SESSION00258,Graduate,Psychology,2025-04-28,11.69,4,Homework Help,3,Assignment Completed,True,2.6
SESSION00259,High School,Psychology,2025-04-03,36.98,9,Writing,4,Confused,False,4.6
SESSION00260,Undergraduate,Biology,2025-04-21,5.58,1,Writing,4,Assignment Completed,True,4.7
SESSION00261,Graduate,History,2025-05-16,27.09,6,Studying,3,Idea Drafted,True,2.5
SESSION00262,Graduate,Computer Science,2024-09-04,10.34,4,Coding,3,Gave Up,False,2.5
SESSION00263,Undergraduate,Biology,2025-01-01,67.56,21,Writing,3,Assignment Completed,False,3.8
SESSION00264,Undergraduate,Math,2025-01-22,17.13,6,Studying,4,Gave Up,False,3.8
SESSION00265,Undergraduate,Engineering,2024-09-24,3.64,1,Writing,4,Confused,False,3.7
SESSION00266,Undergraduate,Math,2024-07-17,12.54,4,Writing,3,Idea Drafted,False,3.0
SESSION00267,Undergraduate,Computer Science,2024-12-07,2.32,1,Writing,2,Assignment Completed,True,2.3
SESSION00268,Undergraduate,Engineering,2024-09-13,10.81,2,Coding,5,Assignment Completed,True,5.0
SESSION00269,Undergraduate,Computer Science,2025-02-17,20.42,5,Coding,4,Assignment Completed,True,2.5
SESSION00270,High School,Computer Science,2025-03-09,16.65,3,Coding,4,Assignment Completed,True,4.8
SESSION00271,Graduate,Computer Science,2024-11-21,37.77,11,Writing,3,Assignment Completed,True,3.9
SESSION00272,Graduate,Psychology,2024-09-06,2.61,1,Writing,4,Assignment Completed,True,5.0
SESSION00273,High School,History,2025-05-10,9.13,4,Coding,5,Assignment Completed,False,4.1
SESSION00274,Undergraduate,Engineering,2025-01-14,8.67,3,Coding,4,Assignment Completed,True,4.2
SESSION00275,Undergraduate,Computer Science,2024-10-15,5.8,1,Coding,3,Assignment Completed,True,3.4
SESSION00276,Undergraduate,History,2024-11-04,13.93,6,Coding,4,Confused,False,4.1
SESSION00277,Graduate,Biology,2024-08-15,7.68,1,Homework Help,4,Gave Up,False,4.4
SESSION00278,High School,Biology,2024-11-28,35.9,13,Writing,2,Assignment Completed,True,1.5
